edad,educacion_madre,educacion_padre,tiempo_viaje,tiempo_estudio,relacion_familiar,tiempo_libre,salir_amigos,consumo_alcohol_entre_semana,consumo_alcohol_fin_de_semana,salud,suspensos,faltas,nota1,nota2,nota3,promedio_notas,beca,campus_True,sexo_True,entorno_vivienda_True,tamano_familia_True,independizado_padres_True,ocupacion_madre_True,ocupacion_padre_True,razon_matricula_True,interes_educacion_superior_True,internet_casa_True,apoyo_escolar_True,apoyo_familiar_True,actividades_True,relacion_romantica_True
19.0,1.0,1.0,2.0,1.0,5.0,5.0,5.0,2.0,3.0,2.0,1.0,0.0,5.0,0.0,0.0,1.6666666666666667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16.0,4.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,5.0,0.0,16.0,9.0,9.0,8.0,8.666666666666666,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16.0,1.0,2.0,1.0,2.0,4.0,4.0,5.0,1.0,3.0,3.0,0.0,0.0,8.0,9.0,9.0,8.666666666666666,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0
17.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,16.0,16.0,16.0,16.0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
19.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,1.0,16.0,10.0,11.0,11.0,10.666666666666666,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
15.0,1.0,1.0,4.0,2.0,5.0,4.0,5.0,2.0,4.0,4.0,0.0,8.0,7.0,9.0,9.0,8.333333333333334,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
17.0,2.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,4.0,0.0,0.0,9.0,10.0,10.0,9.666666666666666,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18.0,3.0,1.0,1.0,2.0,5.0,3.0,3.0,1.0,1.0,4.0,0.0,4.0,8.0,8.0,8.0,8.0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
15.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,0.0,0.0,10.0,9.0,11.0,10.0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0
19.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,0.0,11.0,13.0,14.0,15.0,14.0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
16.0,4.0,4.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,0.0,12.0,9.0,9.0,8.0,8.666666666666666,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
18.0,1.0,1.0,2.0,1.0,5.0,3.0,3.0,2.0,3.0,5.0,1.0,2.0,9.0,7.0,9.0,8.333333333333334,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1
17.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,2.0,4.0,0.0,10.0,11.0,10.0,10.0,10.333333333333334,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,0.0,8.0,10.0,12.0,12.0,11.333333333333334,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1
17.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,2.0,4.0,5.0,0.0,4.0,8.0,9.0,9.0,8.666666666666666,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,5.0,7.0,8.0,8.0,7.666666666666667,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1
18.0,3.0,3.0,1.0,4.0,5.0,3.0,3.0,1.0,1.0,1.0,0.0,4.0,14.0,14.0,15.0,14.333333333333334,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
18.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,10.0,9.0,12.0,10.333333333333334,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
18.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,5.0,2.0,3.0,7.0,8.0,7.0,7.333333333333333,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1
16.0,4.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,5.0,0.0,6.0,12.0,12.0,12.0,12.0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0
17.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,1.0,0.0,7.0,0.0,0.0,2.3333333333333335,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1
17.0,2.0,2.0,2.0,2.0,4.0,3.0,5.0,1.0,2.0,4.0,0.0,0.0,11.0,10.0,11.0,10.666666666666666,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
17.0,4.0,2.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,4.0,0.0,4.0,15.0,14.0,14.0,14.333333333333334,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,8.0,6.0,8.0,7.333333333333333,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0
15.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,5.0,0.0,0.0,10.0,11.0,12.0,11.0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
16.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,5.0,0.0,0.0,12.0,13.0,13.0,12.666666666666666,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17.0,3.0,3.0,2.0,2.0,4.0,5.0,4.0,2.0,3.0,3.0,1.0,4.0,8.0,9.0,10.0,9.0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
18.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,2.0,4.0,4.0,0.0,10.0,10.0,10.0,11.0,10.333333333333334,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
17.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,16.0,10.0,11.0,12.0,11.0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0
16.0,4.0,3.0,1.0,1.0,4.0,2.0,5.0,1.0,5.0,5.0,0.0,8.0,14.0,12.0,13.0,13.0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0
18.0,1.0,3.0,1.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,9.0,10.0,9.0,9.333333333333334,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1
18.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,0.0,0.0,8.0,10.0,9.0,9.0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0
15.0,4.0,1.0,1.0,2.0,5.0,3.0,4.0,1.0,2.0,2.0,0.0,0.0,12.0,13.0,14.0,13.0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
20.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,0.0,8.0,11.0,15.0,15.0,13.666666666666666,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1
16.0,4.0,4.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,13.0,12.0,13.0,12.666666666666666,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,0.0,4.0,14.0,13.0,13.0,13.333333333333334,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1
16.0,4.0,4.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,0.0,0.0,16.0,16.0,17.0,16.333333333333332,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
11.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,0.0,0.0,11.0,11.0,11.0,11.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17.0,3.0,1.0,1.0,3.0,3.0,4.0,3.0,2.0,3.0,5.0,0.0,0.0,17.0,18.0,17.0,17.333333333333332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,1.0,1.0,5.0,0.0,4.0,13.0,13.0,13.0,13.0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
16.0,1.0,1.0,4.0,2.0,5.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,14.0,13.0,13.0,13.333333333333334,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0
15.0,3.0,4.0,1.0,1.0,3.0,4.0,3.0,1.0,2.0,4.0,0.0,2.0,14.0,13.0,14.0,13.666666666666666,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16.0,4.0,4.0,2.0,3.0,5.0,3.0,5.0,1.0,4.0,5.0,0.0,1.0,10.0,11.0,12.0,11.0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
15.0,4.0,4.0,4.0,4.0,1.0,3.0,5.0,3.0,5.0,1.0,0.0,8.0,12.0,10.0,11.0,11.0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
20.0,3.0,2.0,1.0,3.0,4.0,3.0,4.0,1.0,2.0,2.0,0.0,6.0,15.0,19.0,19.0,17.666666666666668,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
16.0,4.0,3.0,1.0,2.0,5.0,4.0,2.0,1.0,2.0,5.0,0.0,6.0,12.0,12.0,13.0,12.333333333333334,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
16.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,0.0,6.0,12.0,12.0,13.0,12.333333333333334,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
17.0,3.0,4.0,1.0,3.0,4.0,4.0,5.0,1.0,3.0,5.0,0.0,8.0,11.0,13.0,14.0,12.666666666666666,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
17.0,4.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,0.0,0.0,14.0,12.0,12.0,12.666666666666666,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
18.0,4.0,4.0,1.0,2.0,4.0,2.0,4.0,1.0,1.0,4.0,0.0,0.0,14.0,15.0,15.0,14.666666666666666,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
16.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,4.0,9.0,9.0,11.0,9.666666666666666,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
18.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,3.0,1.0,18.0,10.0,10.0,10.0,10.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19.0,3.0,2.0,1.0,2.0,6.0,3.0,4.0,1.0,3.0,3.0,0.0,2.0,19.0,20.0,19.0,19.333333333333332,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
18.0,2.0,3.0,1.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,0.0,0.0,11.0,12.0,14.0,12.333333333333334,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
15.0,4.0,3.0,2.0,2.0,5.0,4.0,3.0,1.0,2.0,3.0,0.0,0.0,12.0,12.0,13.0,12.333333333333334,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
16.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,5.0,1.0,12.0,8.0,10.0,10.0,9.333333333333334,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16.0,4.0,2.0,2.0,2.0,5.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,13.0,14.0,14.0,13.666666666666666,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
15.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,4.0,5.0,0.0,2.0,13.0,11.0,11.0,11.666666666666666,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
17.0,3.0,2.0,1.0,2.0,4.0,4.0,4.0,1.0,2.0,5.0,0.0,10.0,16.0,18.0,18.0,17.333333333333332,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
18.0,3.0,2.0,2.0,3.0,5.0,4.0,2.0,1.0,1.0,4.0,0.0,0.0,14.0,15.0,15.0,14.666666666666666,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
15.0,4.0,2.0,1.0,3.0,5.0,3.0,3.0,1.0,3.0,1.0,0.0,4.0,15.0,15.0,15.0,15.0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
17.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,13.0,13.0,14.0,13.333333333333334,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
17.0,2.0,4.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,5.0,0.0,8.0,14.0,15.0,16.0,15.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16.0,2.0,2.0,1.0,2.0,5.0,4.0,4.0,1.0,1.0,5.0,0.0,0.0,12.0,11.0,11.0,11.333333333333334,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1
18.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,1.0,2.0,3.0,0.0,2.0,8.0,10.0,11.0,9.666666666666666,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1
18.0,4.0,4.0,1.0,1.0,5.0,4.0,5.0,1.0,1.0,5.0,0.0,3.0,17.0,17.0,17.0,17.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18.0,2.0,2.0,1.0,4.0,4.0,5.0,5.0,2.0,4.0,5.0,0.0,0.0,11.0,11.0,12.0,11.333333333333334,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
18.0,3.0,3.0,1.0,2.0,5.0,3.0,4.0,1.0,1.0,5.0,0.0,0.0,10.0,10.0,10.0,10.0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1
15.0,1.0,1.0,3.0,1.0,4.0,3.0,3.0,1.0,2.0,4.0,0.0,6.0,11.0,12.0,13.0,12.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15.0,3.0,3.0,2.0,1.0,5.0,4.0,4.0,2.0,3.0,5.0,0.0,4.0,10.0,10.0,11.0,10.333333333333334,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
15.0,3.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,15.0,16.0,17.0,16.0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
17.0,3.0,2.0,1.0,4.0,5.0,2.0,2.0,1.0,2.0,5.0,0.0,0.0,18.0,18.0,18.0,18.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
16.0,2.0,2.0,1.0,1.0,4.0,2.0,5.0,1.0,2.0,5.0,0.0,0.0,17.0,16.0,16.0,16.333333333333332,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
15.0,4.0,4.0,1.0,1.0,4.0,3.0,3.0,1.0,3.0,5.0,0.0,0.0,12.0,13.0,12.0,12.333333333333334,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
18.0,3.0,3.0,1.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,0.0,10.0,10.0,10.0,10.0,10.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,2.0,5.0,0.0,0.0,12.0,12.0,12.0,12.0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
16.0,3.0,3.0,3.0,2.0,5.0,3.0,2.0,1.0,1.0,4.0,0.0,2.0,13.0,14.0,14.0,13.666666666666666,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
17.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,0.0,2.0,11.0,12.0,14.0,12.333333333333334,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
18.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,0.0,4.0,11.0,12.0,14.0,12.333333333333334,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0
17.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,0.0,8.0,13.0,10.0,10.333333333333334,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1
16.0,4.0,4.0,1.0,3.0,5.0,3.0,2.0,1.0,1.0,5.0,0.0,4.0,15.0,16.0,16.0,15.666666666666666,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17.0,2.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,2.0,0.0,2.0,10.0,11.0,12.0,11.0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,4.0,7.0,7.0,8.0,7.333333333333333,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
16.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,3.0,0.0,2.0,7.0,6.0,7.0,6.666666666666667,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
18.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,4.0,10.0,13.0,13.0,12.0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
16.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,4.0,5.0,0.0,2.0,12.0,13.0,13.0,12.666666666666666,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0
16.0,4.0,4.0,2.0,1.0,5.0,1.0,3.0,1.0,2.0,5.0,0.0,1.0,11.0,11.0,11.0,11.0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0
16.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,3.0,0.0,0.0,13.0,12.0,13.0,12.666666666666666,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
16.0,4.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,4.0,14.0,15.0,15.0,14.666666666666666,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
16.0,4.0,4.0,1.0,1.0,3.0,5.0,5.0,2.0,5.0,4.0,0.0,8.0,14.0,14.0,15.0,14.333333333333334,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0
16.0,1.0,1.0,1.0,2.0,5.0,4.0,3.0,2.0,1.0,2.0,0.0,0.0,13.0,14.0,15.0,14.0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1
17.0,4.0,4.0,1.0,2.0,4.0,5.0,5.0,1.0,3.0,2.0,0.0,0.0,13.0,13.0,13.0,13.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18.0,3.0,2.0,2.0,1.0,4.0,4.0,5.0,2.0,4.0,5.0,0.0,8.0,7.0,8.0,7.0,7.333333333333333,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
16.0,1.0,1.0,2.0,1.0,3.0,4.0,4.0,3.0,4.0,5.0,0.0,6.0,11.0,11.0,11.0,11.0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0
16.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,0.0,26.0,10.0,9.0,10.0,9.666666666666666,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1
15.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0,5.0,5.0,3.0,0.0,0.0,11.0,12.0,12.0,11.666666666666666,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18.0,2.0,2.0,2.0,3.0,5.0,4.0,5.0,1.0,4.0,3.0,0.0,0.0,11.0,12.0,13.0,12.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15.0,4.0,3.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,12.0,13.0,14.0,13.0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
18.0,4.0,2.0,1.0,2.0,4.0,3.0,2.0,1.0,4.0,5.0,0.0,2.0,15.0,16.0,16.0,15.666666666666666,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17.0,2.0,3.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,9.0,12.0,13.0,11.333333333333334,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
15.0,4.0,3.0,1.0,2.0,4.0,5.0,2.0,1.0,1.0,5.0,0.0,0.0,13.0,14.0,15.0,14.0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
16.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,1.0,5.0,0.0,4.0,9.0,9.0,10.0,9.333333333333334,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1
17.0,2.0,2.0,3.0,4.0,1.0,3.0,5.0,3.0,5.0,3.0,1.0,2.0,10.0,8.0,9.0,9.0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0
16.0,3.0,3.0,1.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,1.0,0.0,10.0,10.0,1.0,7.0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
11.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,9.0,6.0,6.0,5.0,5.666666666666667,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
17.0,4.0,4.0,1.0,3.0,5.0,4.0,4.0,1.0,3.0,4.0,0.0,0.0,13.0,12.0,13.0,12.666666666666666,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
16.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,4.0,10.0,9.0,11.0,10.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,5.0,3.0,0.0,16.0,10.0,11.0,12.0,11.0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
16.0,1.0,2.0,1.0,3.0,4.0,4.0,3.0,1.0,1.0,5.0,0.0,0.0,10.0,11.0,11.0,10.666666666666666,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
17.0,2.0,1.0,1.0,2.0,4.0,3.0,5.0,2.0,4.0,4.0,0.0,4.0,12.0,16.0,16.0,14.666666666666666,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
18.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,8.0,8.0,5.0,8.0,7.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,5.0,1.0,2.0,12.0,11.0,12.0,11.666666666666666,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0
16.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,1.0,2.0,1.0,0.0,6.0,7.0,7.0,8.0,7.333333333333333,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,2.0,4.0,0.0,0.0,12.0,13.0,14.0,13.0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
16.0,4.0,3.0,1.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,0.0,0.0,14.0,13.0,13.0,13.333333333333334,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,5.0,0.0,2.0,11.0,11.0,11.0,11.0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1
15.0,2.0,1.0,3.0,3.0,5.0,2.0,2.0,1.0,1.0,4.0,0.0,0.0,10.0,12.0,13.0,11.666666666666666,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15.0,3.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0,3.0,3.0,0.0,2.0,13.0,13.0,13.0,13.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,5.0,0.0,0.0,10.0,11.0,11.0,10.666666666666666,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,2.0,4.0,3.0,0.0,11.0,12.0,10.0,11.0,11.0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0
17.0,2.0,1.0,1.0,1.0,5.0,4.0,5.0,1.0,2.0,5.0,0.0,22.0,9.0,7.0,6.0,7.333333333333333,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
16.0,2.0,2.0,1.0,2.0,4.0,3.0,5.0,2.0,4.0,4.0,0.0,0.0,9.0,10.0,11.0,10.0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
17.0,3.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,18.0,19.0,19.0,18.666666666666668,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0
17.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,0.0,0.0,13.0,13.0,13.0,13.0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
18.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,9.0,11.0,10.0,10.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16.0,3.0,4.0,3.0,2.0,3.0,4.0,5.0,1.0,2.0,5.0,0.0,4.0,9.0,10.0,11.0,10.0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
17.0,3.0,2.0,1.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,14.0,14.0,16.0,14.666666666666666,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
18.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,3.0,3.0,5.0,0.0,0.0,12.0,11.0,13.0,12.0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
11.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,9.0,9.0,10.0,9.333333333333334,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1
18.0,2.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,5.0,0.0,10.0,12.0,13.0,14.0,13.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17.0,3.0,2.0,1.0,2.0,5.0,4.0,2.0,1.0,1.0,3.0,0.0,4.0,14.0,14.0,15.0,14.333333333333334,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0
17.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,0.0,8.0,13.0,15.0,15.0,14.333333333333334,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
16.0,4.0,4.0,1.0,1.0,5.0,3.0,4.0,1.0,2.0,1.0,0.0,4.0,12.0,13.0,13.0,12.666666666666666,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17.0,3.0,1.0,1.0,2.0,5.0,4.0,4.0,3.0,4.0,5.0,0.0,0.0,11.0,11.0,14.0,12.0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
18.0,4.0,3.0,2.0,1.0,3.0,2.0,4.0,1.0,4.0,1.0,0.0,8.0,12.0,12.0,15.0,13.0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
16.0,4.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,3.0,0.0,0.0,17.0,17.0,18.0,17.333333333333332,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
